,Missing_Count,Missing_Percent%
sold_at,306256,0.6294039430228472
product_brand,369,0.0007583526689287087
product_name,34,6.98753136682279e-05
id,0,0.0
product_id,0,0.0
created_at,0,0.0
cost,0,0.0
product_category,0,0.0
product_retail_price,0,0.0
product_department,0,0.0
product_sku,0,0.0
product_distribution_center_id,0,0.0
